Carolina Lakes Golf Club,23012 Kingfisher Dr,Fort Mill,SC,29707,34.9306348,-80.843196
Fairway Golf Course,4940 Highway 227 N Lot 2,Owenton,KY,40359,38.5948096,-84.8355755
Heritage Golf Eagle Trace Llc,1111 Eagle Trace Blvd,Coral Springs,FL,33071,26.2479017,-80.2839649
Lineage Financial Management,5 Royal Saint George Rd,Newport Beach,CA,92660,33.6264543,-117.8657464
Fiddler's Creek Golf Course,3470 Club Center Blvd,Naples,FL,34114,26.0244165,-81.6815479
Meadowlands Golf Course,711 Boehms Church Rd,Blue Bell,PA,19422,40.1666856,-75.2624455
Silver Springs Golf Course,1392 County Road W42,Ossian,IA,52161,43.1412698,-91.7670664
Indian Creek Yacht & Cntry Clu,362 Club Dr,Kilmarnock,VA,22482,37.698631,-76.3389074
Willow Springs Golf Course,Po Box 315,Haslet,TX,76052,32.9611111,-97.3488427
Bogey Hills Country Club,1120 Country Club Rd,Saint Charles,MO,63303,38.7849736,-90.5377497
Eagle Lake Lighted Golf Ctr,11000 Bass Lake Rd,Minneapolis,MN,55442,45.0605797,-93.4177904
Olde Course At Loveland,2115 W 29th St,Loveland,CO,80538,40.4236291,-105.1074782
Heron Bay Golf Club,5100 Heron Bay Blvd,Locust Grove,GA,30248,33.3378171,-84.1931504
Creeks Bend Golf Club,5900 Hixson Pike,Hixson,TN,37343,35.1518571,-85.2078281
Sugar Springs Property Owners,5477 Worthington Ct,Gladwin,MI,48624,44.1311222,-84.4453469
Wakonda Club,3915 Fleur Dr,Des Moines,IA,50321,41.5504927,-93.6416893
Idle Hour Country Club,251 Idle Hour Dr,Macon,GA,31210,32.8654358,-83.7107172
Wedgewood Crystal Springs,6650 Golf Course Dr,Burlingame,CA,94010,37.5578387,-122.3820359
Tekoa Country Club,459 Russell Rd,Westfield,MA,1085,42.1329476,-72.7813259
Marin Country Club,500 Country Club Dr,Novato,CA,94949,38.0643353,-122.5650072
Highland Golf Course,707 Highway 274,Camden,AR,71701,33.6167038,-92.739983
